"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.118886053,       1.580570514,       1.156571086,       4.450737276
          0,           0,           1,      -1.624201525,      0.9798524092,      0.7949562016,       3.885028891
          0,           0,           2,      -1.917854587,      0.5647499881,      0.5070905136,       3.566210937
          0,           0,           3,      -2.065326408,      0.2363447678,      0.3646876774,       3.398199762
          0,           0,           4,      -2.093838408,      0.1637852516,      0.3938465547,       3.368978842
          0,           0,           5,      -2.136531907,      0.3038099988,      0.3145032381,       3.342183628
          0,           0,           6,      -2.277392407,     0.07935043549,      0.1839159738,       3.174719721
          0,           0,           7,      -2.425641418,     -0.1067302946,     -0.1166503239,       3.027704717
          0,           0,           8,       -2.52273561,     -0.1143679159,     -0.1545655237,       2.943206919
          0,           0,           9,      -2.596361377,     -0.1906060839,     -0.2877079329,       2.858409764
          0,           0,          10,      -2.772782619,     -0.4113977063,     -0.4156378028,       2.681042748
          0,           0,          11,      -2.870899821,     -0.5655910269,     -0.5066170544,       2.586323203
          0,           0,          12,      -2.906883586,     -0.4725622844,     -0.6228932419,       2.562401232
          0,           0,          13,      -2.979900768,     -0.5720746923,     -0.6729523942,        2.47353743
          0,           0,          14,      -3.104767235,     -0.7355219795,     -0.8451271372,       2.336681765
          0,           0,          15,      -3.173131207,     -0.8838782566,     -0.8074540743,       2.266892088
          0,           0,          16,      -3.240448923,     -0.7980140705,      -1.005787527,       2.213118703
          0,           0,          17,      -3.299272097,     -0.8890288436,     -0.9738528573,        2.13685873
          0,           0,          18,        -3.3994549,      -1.019723976,      -1.139925193,       2.016163373
          0,           0,          19,      -3.419990255,      -1.054797973,      -1.082989316,        2.01036676
          0,           0,          20,      -3.466035747,      -1.018179343,      -1.252314361,         1.9545348
          0,           0,          21,      -3.514984968,      -1.095980854,      -1.227807904,       1.896342687
          0,           0,          22,      -3.613064031,      -1.203247373,      -1.328364202,       1.774391431
          0,           0,          23,      -3.605866846,      -1.171476531,      -1.326089728,       1.801831548
          0,           0,          24,      -3.657725216,      -1.188208737,      -1.403111923,       1.737536185
          0,           0,          25,      -3.701449243,      -1.252894591,      -1.465439649,       1.683869589
          0,           0,          26,      -3.762132895,      -1.327362737,      -1.475563859,       1.591562902
          0,           0,          27,      -3.745565988,      -1.285185938,      -1.548322083,       1.632858609
          0,           0,          28,      -3.801182774,      -1.338735958,      -1.553128221,       1.541356452
          0,           0,          29,      -3.809253089,      -1.359979354,      -1.606750096,       1.532006679
          0,           0,          30,      -3.869797626,      -1.400638293,      -1.617207653,       1.420620623
          0,           0,          31,      -3.856996573,      -1.379976479,      -1.643675882,       1.469445442
          0,           0,          32,      -3.900385652,      -1.409852782,      -1.671319237,        1.38513251
          0,           0,          33,      -3.903726113,      -1.426827335,      -1.702031858,        1.38114156
          0,           0,          34,       -3.94797178,      -1.460729155,      -1.738716595,       1.279435033
          0,           0,          35,       -3.93015837,      -1.449637801,      -1.751004437,       1.348608885
          0,           0,          36,      -3.935466325,      -1.456852041,      -1.741339257,       1.332810991
          0,           0,          37,       -3.94643542,      -1.471422096,      -1.771379153,       1.312734556
          0,           0,          38,      -3.959667214,      -1.480274044,      -1.768777748,       1.281569014
          0,           0,          39,       -3.95474955,      -1.486258953,      -1.787540084,       1.293820185
          0,           0,          40,      -3.969466507,      -1.491598679,      -1.786919007,       1.257248571
          0,           0,          41,      -3.974046666,      -1.503794002,      -1.816350027,       1.264371938
          0,           0,          42,      -3.983938779,      -1.509617712,      -1.800951047,       1.229199417
